المقابل باللغة الأنجلزية	المقابل باللغة الفرنسية	المصطلح
antigrammatical construction	construction  agrammatical	تركيب لا نحوي (غير مستقيم أو ملحون)
anti -mentalism	antimentalisme	اللاذهنية
antirhythmical	anticadence	رتابة (تواتر النغمة)
antithesis	antithése	طباق
antonomasia (appellative)	utilisation d’un adj.comme nom propre	تغليب
antonym	antonyme	مضاد
antonymy	antonymie	تضاد( في الدلالة)
aorist	aoriste	متعدد الأزمنة
aperture	aperture	اتساع المخرج
apex	apex	طرف اللسان ،الذولق
apharesis ;aphersis	aphérése	سقوط الأول
aphasia	aphasie	حبسة
aphoristic	aphoristique	قول مأثور
aphrasia	paraphrasie	عطسلطة
apical articulation	articulation apical	
apico-alveolar	apico-alvéolaire	ذولقي (أسلي المخرج)
apico-dental	apico-dental	ذولقي نطعي
apico-lateral	apico-latéral	ذولقي أسناني
apocopation	apocope	ذولقي منحرف
apocope	apocope	جزم
apocope	apocope	بتر
apodosis	apodosz	جواب الشرط
apophony	apophonie ;alterence	تحول بالتعاقب
aposiopesis	aposiopése	التفات مقطوع
aposteriori languge	genre de langue artificielle basée sur des langues naturelles	لغة اصطناعية مركبة
apostrophe	apostrophe	1-وصلة (علامة حذف) 2-مناداة
appellation	appellation	تسمية
appellative function	fonction appellative	وظيفة الاستفتاح
appellative name	appellatif	اسم جنس
application	application	تطبيق (المدلول عليه)
applied linguistics	linguistique apliquée	اللسانيات التطبيقية
apposition	apposition	بدل،عطف بيان
appositive clause	relative appositive	جملة بدل
approximat	son continu non-fractif	بيني
apriori language	langue artificielle (non basé e sur les langues naturelles)	لغة اصطناعية(غير مبنية على لغات طبيعية)
arbitrariness	arbitaire	اعتباطية
archaïc	archaïque	مهجور
archaïsm	archaïsme	لفظ مهجور
archiphoneme	archiphonéme	وحدة صوتية جامعة
archistrataum	archistrataum	لغة خاصة
area language	langue régionale	لغة إقليمية
area linguistics	géographie linguistique	جغرافية اللغة
argot ;cant	argot	لهجة خاصة  (بطبقة اجتماعية أو مهنة معينة)
article(s)	article(s)	أدوات التعريف والتنكير  (في بعض اللغات الأروبية)
articulate language	langage articulé	كلام مقطع
articulation	articulation	نطق ،تلفظ
articulator	articulateur	عضو النطق
articulatory movement	mouvement articulatoire	حركة إخراج الحرف
articulatory parameter	paramètre articulatoire	متغير نطقي
articulatory phonetics	phonétique articulatoire	صوتيات فزيولوجية (في مقابل صوتيات التموج)
articulatory system	système articulatoire	جهاز النطق
artificial language	langue artificielle	لغة اصطناعية
artificial script	écriture artificielle	كتابة اصطناعية
artificial speech	synthèse de la parole	كلام مصطنع (التركيب الاصطناعي للكلمات)
aryténoïde	aryténoïde	الطهرجهاليان،الهرميان
ascending diphthong	diphtongue ascendante	صوت مركب صاعد
asemantic	asémantique	محال
aspect	aspect	كيفية الحدث أحوال الحدث
aspirate	aspiré	انفجار نفسي(الصوت)
aspirated stop	occlusive aspirée	مصوت نفسي
aspiration	aspiration	نفس
assertive	assertif	خبري(في مقابل الاستفهام والأمر والطلب عامة)
assibilant ;assiblate	assibilant ;assibilé	مصفر
assibilation	assibilation	تصفير (للحرف الشديد وغيره)
assimilation	assimilation	تصفير الصوت تقريب صوتي مشاكلة
assimilatory phonem	phonème assimilateur	المقرب إليه
association group	association de mots	مجموعة متداعية المعنى
associative etymology	étymologie populaire	تغيير بالتوهم  (استبدال كلمة بأخرى)
associative field	champ d’association	مجال التداعي
associative relations	rapports d’association	علاقات التداعي
assonance	assonance	جناس صوتي مجانس صوتي
asterisk	astérisque	نجمة (علامة للصيغ المفترضة أو غير المقبولة)
ésthenphania	asthénie phonique	نهك صوتي
asyllabique	assyllabique ;assyllabéme	لا مقطعي (فونيم)
asymmetry of organs	asymetrie des organes	عدم التوافق العضوي
asynndetic	construction ;asyndetent asyndéte	فصل (في مقابل الوصل)
asynataxic composition	composition asyntaxique	بناء لا تركيبي
athematic	athématique	لا أصلي  (لاصقة لا تكون أصلا)
atlas (linguistic)	atalas (linguistique)	أطلس (لغوي)
atonic	atone	لا منبور (بنبر رئيسي) غير منغم
attack	attaque	ابتداء الصوت
attested form	forme attestée	صيغة موثقة
attraction	attraction	جذب (تأثير عنصر لغوي على آخر)
attribute ;attributive	épithète (adj)	نعت،صفة
attributive construction	constriction adjectivale (servant comme épithéte)	تركيب،وصفي
attrition	attrition ;affaiblissement	إضعاف متدرج
audibility	audibilité	مسموعية
audi-muteness	audi-mutité	عمه لغوي
audiogram	audiogramme	مسامعية  (رسم السمع)
audio-lingual	audio-lingual	سمعي شفهي
audiology	audiologie	السمعيات(علم السمع)
audiomter	audiométre	مسماع
audiometry	audiométrie	قياس السمع
audio-visual	audio-visuel	سمعي بصري
auditory area/centre	centre auditif	مركز السمع
auditory discrimination	Discrnement auditif	تمييز سمعي
auditimory feedbback	auditif;rétrocation auditive	ترجيع سمعي (سماع المرء نفسه)
audiotory language	langage auditif	كلام مسموع
auditory phonetics	الصوتيات السمعية	الصوتيات السمعية
augmemt	augment	سابقة مصوتية (زيادة)
augmentation	augmentation	تعظيم (عكس تصغير)
augmentative.	augmentatif	مكبر
aural discrimination	discernement auditif	تمييز سمعي
Aural_oral	audio-aural	سمعي شفهي
automatic alternation	alternance automatique	تعاقب اضطراري
automatic translation	Traduction automatique	ترجمة آلية
automatic variant	Variante conditionnée; alternant conditionné	بدل اضطراري
atonomous sound	son autonome	مستقل  كياني الصوت
autonomous sound-change	changement phonétique autonome	تحول صوتي مستقل
autonomous syntagm	syntgame autonome	1-تركيب مستقل 2-مركب مستقل (وحدة النظم المستقل)
autonomous word	mot autonome	كلمة مستقلة
authority	autorité	حجة
auxiliary	auxiliaire	أداة  مساعد
auxilary language (as a mean of communication between different communities)	lingua franca	–لغة اصطناعية  2-لغة مشتركة
auxiliary sign/mark	symbole  diacritique	علامة مساعد علامة إعجام (فيما يخص الكتابة)
auxilary verb	verbe auxiliaire	1-أداة فعلية  2-فعل مساعد
axiomate	axiomatiser	صياغة إلى أصول وفروع
axiomatic	axiomatique	نظرية تفريعية
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
babbing	babillement ;babil	هلهلة  بأبأة( في مراحل اكتساب اللغة )
baby- talk	babil enfantin	هلهلة ،بأبأة
back-formation	dérivation régressive	اشتقاق بالحذف
back-soud	son d’arrière	مستعل
back vowel	voyelle d’arriéré voyelle postérieure	مصوت مستعل
barbarisme	barbarisme	عجمة خطأ لغوي (في مقابل الخطأ النحوي)  لحن(عامة في الاصطلاح الأنجليزي)
bare	nu	مجرد
base component	base syntagmatique	عنصر تركيب أصلي
base component	composé primaire ;composé de base	مركب أصلي
base form	forme basique	صيغة أصلية
base rules	régles catégorielles/syntagmatiques	قواعد تركيبية أصلية
basic alternant	alternant de base ;forme basique	أصل البدل
basic language	langue de base	لغة أصلية لغة أساسية
basic sentence	phrase type/sous-jacente ; phrase noyau	جملة اصلية
basic vovabulary	vocabulaire de base	مفردات أساسية
basic of articulation	base articulatoire	مخرج أصلي
basic of derivation	base de dériviation	المشتق منه
behaviourism	behaviourisme	السلوكية
bidirectional	bi-directionnel	مزدوج الاتجاه
bilabial	bilabial	من الشفتين (صوت شفوي يلفظ بواسطة الشفتين )
bilabiodentale	bilabiodentale	من الشفتين والثنايا
bilateral	bilateral	من الحافتين (حافتي اللسان) جانبي (من جانبي الفم)
bilateral consonant	consonne bilatérale	صوت جانبي
bilateral opposition	opposition bilatérale	تقابل ثنائي
bilingual	bilingue	ثنائي اللغة
bilingual dictionary	dictionnaire bilingue	معجم ثنائي اللغة
bilingualism	bilinguisme	ازدواجية اللغة
biliteral	billitteral billitéral ;bilitére	ثنائي الحروف (في المقابل الثلاثي والرباعي وغيرهما)
bianarism ;binarity	binarisme	الثنائية
binary construction	construction binaire	تركيب ثنائي
binary cut	segmentation binaire  ; coupe-binaire	تقطيع ثنائي
binary priciple	principe de binarisme	مبدأ الثنائية
biolingyuistics	biolinguistique	اللسانيات الاحيائية
bipartite system	système bipartite	نظام ثنائي المقسم
bisemy	bisémie	ثنائي الدلالة
biunique ;biunivoque	biunivoque	متناظر(طردي-عكسي)
blade of the tongue	lame	طرف اللسان (ويسمى ذولقا و أسلة أيضا)
blade sound	préplato-spécial	نطعي ذولقي
blocked transformation	transformation bloquée	تحويل ممتنع
blocked syllable	syllable fermée	مقطع ساكن
blocked vowel	voyelle entravée	مصوت ساكن ما بعده
body language	langage gestuel	لغة الإيماء
border mark ;boundary marker	marue de frontiére	علامة الطرف (التنوين مثلا)
borrowed word	emprunt	دخيل
bound accent/stress	accent lié/conditionné	نبر مقيد (ملازم أو اضطراري)
bound form	forme dépendante	صيغة مقيدة
bond morpheme	morphème dépendant ; morphème lié	حرف ملازم
bound noun	nom comptable	اسم معدود (قابل للجمع)
bound sentence	phrase subordonnée	جملة ملازمة  (جملة محمولة)
boustrophedon	boustrophédon	محراثية (كتابة)
bow-wow theory	oua-oua	نظرية البوهرة (نظرية في نشأة اللغة)
brachylogy	abrégement	حذف معلوم
bracketing	étiquettage	تقويس (لتجزئة الجملة)
branching	branchement	تفريع (في النحو التحويلي)
branching programme	multi-branche programme	برنامج متعدد الفروع
break in speech	pause	وقف
breath group	groupe (unité expiratoire)	مجموعة نفسية
breath pressure	pression d’éxpiration	قوة النفس (ضغط الهواء الداخلي)
breath state	état  de la glotte	حالة تنفس (حالة من أحوال المزمار أي من فوهة الحنجرة)
breath stream	colonne d’air	مجرى النفس
breve	signe diacritique indiquant la brévité ;signe de vrévité	علامة القصر (تكتب فوق المصوت للدلاله على قصره أو الضعف النبر إلخ)
bright vowel	voyelle claire	مصوت أمامي (مصوت مستقل أو منخفض)
broad transcription	transcription large	كتابة صوتية عريضة (فونيمية)
broad vowel	voyelle d’arriére	مصوت مستعل
broken plural	pluriel brisé	جمع التكسير
buccal	buccal	فموي
buccal cavity	cavité	تجويف الفم
buccal sounds	son oraux	أصوات من الفم
burring	grasse	لثغة الراء
brust	explosion	انفجار(إطلاق)
		
		
		
		
		
		
		
		
		
		
		
		
		
		
cacography	cacographie	1- خط غير واضح 2- هجئة خطية
cacology	cacologie	هجنة
cacuminal	cacuminal	تقعيسي
cadence	cadence	نغمة ختامية
caducous	caduc	معرض للحذف
caesura	césure	مقطع شعري
calligraphy	calligraphie	فن الخط
calque	calque	اقتراض بالترجمة
cononical form	forme canonique	صيغة معيارية (في الأصوات والصرف)
capacity	capacité	قدرة
cardinal nember	nombre cardinal	عدد أصلي
cardinal vowels	voyelles cardinales	أصوات المصوتات
caret	chevron	علامة إقحام يشكل()
case grammar	grammaire des cas	الحالات النحوية(مدرسة)
caste	traits distinctifs d’une classe	فصل (الجنس ثم النوع ثم الفصل)
casual speech	style informel ;style familier	أسلوب مبتدل
catachesis	catachesis ;catachrése	مجاز شائع
catalexis	catalexe	زحاف  (حذف عروضي)
catastase	catastase	مرحلة الحبس (تهيؤ العضو للنطق بالحروف)
catch	coup de glotte	همزة
categorial component	composante catégorielle	عنصر فصلي عنصر تفريعي
categorial grammar	grammaire catégorielle ;grammaire syntagmatique	نحو الفصائل
categorization	catégorisation	تقسيم (إلى فصائل)
category	catégorie	صنف قبيل
category symbol	catégorie symbole	علامة الفصلية
catenation	caténation ;concaténation	وصل اتصال(في مقابل البناء)
contenative verb	verbe copulatif	فعل رابط(في بعض اللغات)
cathodic oscillograph	oscillographe cathodique	مهزاز مهبطي
causal clause	proposition causale	جملة سببية
causal conjonction	conjonction causale	أداة تعليل
causative form	forme causative	صيغة التعدية
causative verb	verbe causatif	فعل التعدية
cavities (cavities of speech organs)	cavités	تجاويف (الأعضاء النطق)
cavity features	traits de cavité	صفات تجويفية
cavity friction	friction de cavité	احتكاك جوفي تسريب جوفي
cedilla	cédille	سديلة(علامة توضح تحت الحرف لتحديد صلته الصوتية
cenematics ;centics	cénématique	السينميات
ceneme	cénéme	سينم(وحدة صوتية في الكلوسيماتيك)
centering ;centralization	centralisation	توسط انتصاب في مقابل الاستعلاء والاستفال)
cental vowel	voyelle centrale	مصوت منتصب (من وسط اللسان)
centre	centre	وسط
centre of Broca	centre de Broca	مركز بروكا
centre of Wernicke	centre of Wernicke	
centrifugal	centrifuge	نابذ
centring diphthong	diphtongue centro-complexe	مصوت مركب وسطي
centripetal	centripéte	جابذ
centum language	langue « centum »	لغات كنتية (لم تتحول فيها الكاف إلى السين مثل اللغات الجرمانية)
cerebral	cérébral	متقعس(اللسان)
chain and choice	chainge et choix	تسلسل واختيار
change	changement ;évolution	تحول
channel	canal ;chenal	قناة (التواصل)
character	caractére	محرف  (حرف مطبعي)
characteristic feature	trait caractéristique	دراسة مميزات الكلام
characterology of speech	caractérologie de la parole	دراسة مميزات الكلام
cheked position	position fermée	موقع ساكن  (في الصوتيات)
cheked syllable	syllabe fermée	مقطع ساكن
checked versus unchecked	fermé/ouvert	مسدود/مفتوح (ساكن-متحرك)
checked vowel	voyelle fermée ;voyelle entravée	مصوت ساكن ما بعده
chest pulse	pulsation thoracique	دفعة صدرية
chiasme	chiasme	عكس(في البلاغة)
Chomsky adjoint	Chomsky adjointe	ملحق "تشومسكي"
chromatic accent	ton	نغمة نبرة (كما في الصينية والفيتنامية)
chrone	durée (voyelle)	مد
chroneme	chronéme	مدة(وحدة لقياس المد) كرونيم (ظاهرة الطول المميزة في المصوتات عادة)
class cleavage word	mot à double emploi	لفظ مشترك الجنس
classical language	langue classique	لغة كلاسيكية
classification of languages	classification des langues	تصنيف اللغات
class meaning	sens(signification) d’une classe	معنى الصنف
class noun	unité nominal	صنف الأسماء جنس الأسماء
class sign	marque de classe ;indice de classe	علامة الصنف
calss word(s)	indice de classe	صنف لغوي
clause	proposition	جملة
clause marquer	marqueur de proposition ;marqueur de fonction	دليل حكم الكلام  (وجود "هل" كدليل على الاستفهام)
clause pattern	proposition modéle	مثال الجملة
clause terminal	terminale  (de proposition)	وقفة
clausula	clausule	فاصلة
clear lateral ;clear « L »	latérale claire	منحرف مرفق
cleaving	clivage	فسخ
cliche (stock phrase)	cliché	عبارة جامدة  (تجري مجرى المثل)
click	clic ;click	نبصة
clipped proununciation	prononciation hachée/saccadée	كلام متقطع
clipped word	mot abrégé	كلمة مختزلة
clipping	abréviation	اختزال
closed class words	mots-outils ;mot fonctionnels	الألفاظ المحصورة العدد(وهي الأدوات أي حروف المعاني)
closed list	système clos	قائمة محصورة
closed repertory	répertoire clos	رصيد محصور
closed set/system	systéme clos	نظام محصور
closed state	fermeture( de la glotte)	حالة انغلاق (لفوهة الحنجرة)
closed syllable	syllabe fermée	مقطع ساكن
close vowel	voyelle fermée	مصوت ساكن ما بعده
closure	fermeture	إغلاق (اتباع بصامت ساكن أو تضييق المخرج)
closure	groupe d’éléments (linguistiques)	نسق
coalescence	coalescence	مزج صوتي
coalescencent assimilation	assimilation réciproque	تماثل متبادل
co-articulated	co-articulé	مزدوج المخرج
co-articulation	co-articulation	ازدواج المخرج
coda	fin de syllabe	نهاية المقطع
code	code	نظام رمزي (مواضعة أو وضع)
codification	codification(d’une langue)	تدوين اللغة
cognate language	langue parente ;langue apparentée	لغة لنفس الأصل
cognates	formes correspondantes ;concordances de vocabulaires	نظائر تاريخية
cognate word	mot correspondant ;concordances de vocabulaires	النظير (من حيث القرابة التاريخية) نظير تأصيلي
cognitive meaning	sens cognitif	معنى وضعي (ما وضع له في اللغة بالأصل)
cognitive reality	réalité cognitive	الواقع المعقول
cohesion	cohésion	ترابط (شدة الاتصال وعدمها عند النحاة العرب)
cohortative mood	forme cohortative	صيغة التحضيض
cohyponyme	cohyponyme	متجانس المعنى
coinage	invention (d’un mot)	توليد كلمة
coined word	mot inventé ;néologisme	كلمة مولدة
collation	collation	تجميع
collective noun	nom collectif	اسم جمع
colligation ;collocation	collocation	مصاحبة لفظية
collision	collision	اصطدام
collocation accent	accent de collocation	النبرة المصاحبة اللفظية
colloquialism	forme (expression) parlée/familiére	التعبير العامي
colloquial speech	langage familier ;langue parlée	العامية(الدارجة) لغة التخاطب(وقد لا تكون عامية)
colouring	coloration (d’un son)	اصطباغ للمجاورة  تأثير جرس المصوتات )
combination	combinaison	تركيب
combinative change (combinative sound change)	changement phonétique combinatoire	تحول صوتي تركيبي (أو مسبب لأنه ناتج عن التركيب)
combinatorial semantics	sémantique combinatoire	علم المعاني التركيبي
combinatory change	changement combinatoire	تحول صوتي تركيبي
combinatory variant	variante combinatoire	بدل تركيبي (وهو مسبب وواجب لأنه ناتج عن التركيب)
comitative	comitatif	حالة المعية  (أي في مدرسة الحالة الإعرابية في النحو)
command	ordre (impératif)	أمر
comment	commentaire	خبر جملة  (في النحو) مسند (في مقابل المسند إليه)
common case	forme non-fléchie	حالة إعرابية مشتركة  (غير متصرفة)
common core	vocabulaire commun ;vocabulaire de base	مفردات مشتركة
common gendere	genre des épicènes	جنس مشترك
common language	langue commune	لغة مشتركة
common mood	nom commun	صيغة ثبوث
common noun	nom commun	اسم الجنس (في مقابل العلم والضمائر و أسماء الإشارة وغيرها)
common speech	langue commune	كلام مشترك
communication	communication	اتصال تبليغ
communication funtion	fonction communicative	وظيفة التبليغ
communication	communication	تبديل تعاقب
compact phoneme	compact phonème	وحدة صوتية  متجمعة
comparative degree	degré de comparaison	درجة تفضيل
comparative grammar	grammaire comparée	النحو المقارن
comparative linguistics	linguistique comparée	اللسانيات المقارنة
comparativism	comparativisme	مذهب النحو المقارن
comptability	comptabilité	تساوق
compensatory lengthening	allongement compensatoire	مد تعويضي
compensatory shortening	raccourcissement compensatoire	قصر تعويضي
competence	compétence	الملكة اللغوية
complement	complément	خبر (خبر كان والمفعول به مثلا)
complementarity	complémentarité	تكامل دلالي
complementary distribution	distribution complémentaire	تعاقب بالتنافي
complementation	complétivisation	حمل جملة (على أخرى)
comlementizer	complétiviseur	المحمول به ( مثل أن وأنّ) تقريب تام
complete assimilation	assimilation complète	تماثل (في مقابل التجانس وهو التقريب الجزئي)
complete interrogation	assimilation complète	استفهام تصديقي
complete verb	verbe intransitif verbe non-féfectif	فعل لازم فعل تام (غير ناقص)
completive sentence/fragement	fragement completiif	جملة محمولة (لها موضع من الإعراب)
complex peak	sommet complexe	قمة مركبة نواة مركبة
complex sentence	phrase complexe	جملة مركبة
complex stop	occlusive complexe	ساكن مركب (حرف شديد مركب)
complex vowel	voyelle complexe	مصوت مركب
compound tense	temps composé	صيغة الفعل المركبة
compromise language	koiné	لغة مشتركة
pomutational linguistics	linguistique de calcul	اللسانيات الرتابية (الرياضية)
computer science	informatique	المعلوميات
conative	conatif	صيغة التكلف وظيفة الأمر والنهي
concatenation	concatenation	سلسلة (وصل العناصر وضده البناء فب نظرية الخليل وأتباعه)
concept	concept	تصور مفهوم
conceptual theory of meaning	théorie conceptuelle du sens	النظرية التصورية للمعاني
concessive	concessive (proposition)	جملة استدراكية
concomitance	concomitance	تلازم الصفات
concord	accord	توافق
concordance	concordance	مطابقة
concrete noun	nom concret	اسم عين (في مقابل اسم معنى)
concrete sound	son concret	صوت محصل
conditionnal	conditionnel	شرطي
conditionnal clause	proposition conditionnelle	جملة شرطية
conditionnal perfect tense	temps conditionnel composé	صيغة الشرط الماضية (في اللغة الأنجلزية)
conditionnal sound change	changement phonétique conditionné	تحول صوتي مسبب
